# rho - energy density in [g/cm^3]
# R   - radius in km
# M   - mass in solar masses
# chi[0] - the scalar field in the centre of the star
# abs(alpha_A) - the absolut value of alpha_A for this star
# beta   - theory parameter (for now set to 0)
# alpha  - theory parameters, related to the Brans-Dicke parameter. This is the one we want to sample
# log(alpha) - the table is build to have equal spacing between the models in terms of log(alpha), and NOT alpha alone
#   rho          R             M           chi[0]    abs(alpha_A)      beta        alpha      log(alpha) 
  6.6086e+14   1.1373e+01   7.0000e-01  -2.4305e-02   1.1791e-01   0.0000e+00   1.4125e-01  -8.5000e-01 
  6.6185e+14   1.1363e+01   7.0000e-01  -2.7239e-02   1.3222e-01   0.0000e+00   1.5849e-01  -8.0000e-01 
  6.6310e+14   1.1350e+01   7.0000e-01  -3.0517e-02   1.4824e-01   0.0000e+00   1.7783e-01  -7.5000e-01 
  6.6465e+14   1.1335e+01   7.0000e-01  -3.4176e-02   1.6617e-01   0.0000e+00   1.9953e-01  -7.0000e-01 
  6.6659e+14   1.1316e+01   7.0000e-01  -3.8256e-02   1.8622e-01   0.0000e+00   2.2387e-01  -6.5000e-01 
  6.6899e+14   1.1293e+01   7.0000e-01  -4.2797e-02   2.0864e-01   0.0000e+00   2.5119e-01  -6.0000e-01 
  6.7197e+14   1.1264e+01   7.0000e-01  -4.7840e-02   2.3366e-01   0.0000e+00   2.8184e-01  -5.5000e-01 
  6.7565e+14   1.1230e+01   7.0000e-01  -5.3426e-02   2.6157e-01   0.0000e+00   3.1623e-01  -5.0000e-01 
  6.8016e+14   1.1190e+01   7.0000e-01  -5.9593e-02   2.9266e-01   0.0000e+00   3.5481e-01  -4.5000e-01 
  6.8567e+14   1.1142e+01   7.0000e-01  -6.6373e-02   3.2722e-01   0.0000e+00   3.9811e-01  -4.0000e-01 
  6.9234e+14   1.1087e+01   7.0000e-01  -7.3788e-02   3.6558e-01   0.0000e+00   4.4668e-01  -3.5000e-01 
  7.0038e+14   1.1024e+01   7.0000e-01  -8.1845e-02   4.0806e-01   0.0000e+00   5.0119e-01  -3.0000e-01 
  7.0996e+14   1.0953e+01   7.0000e-01  -9.0529e-02   4.5496e-01   0.0000e+00   5.6234e-01  -2.5000e-01 
  7.2126e+14   1.0876e+01   7.0000e-01  -9.9798e-02   5.0662e-01   0.0000e+00   6.3096e-01  -2.0000e-01 
