# rho - energy density in [g/cm^3]
# R   - radius in km
# M   - mass in solar masses
# chi[0] - the scalar field in the centre of the star
# abs(alpha_A) - the absolut value of alpha_A for this star
# beta   - theory parameter (for now set to 0)
# alpha  - theory parameters, related to the Brans-Dicke parameter. This is the one we want to sample
# log(alpha) - the table is build to have equal spacing between the models in terms of log(alpha), and NOT alpha alone
#   rho          R             M           chi[0]    abs(alpha_A)      beta        alpha      log(alpha) 
  5.8046e+14   1.1985e+01   7.0000e-01  -8.3074e-04   4.2374e-03   0.0000e+00   5.0119e-03  -2.3000e+00 
  5.8047e+14   1.1985e+01   7.0000e-01  -9.3211e-04   4.7544e-03   0.0000e+00   5.6234e-03  -2.2500e+00 
  5.8047e+14   1.1985e+01   7.0000e-01  -1.0458e-03   5.3345e-03   0.0000e+00   6.3096e-03  -2.2000e+00 
  5.8047e+14   1.1985e+01   7.0000e-01  -1.1734e-03   5.9854e-03   0.0000e+00   7.0795e-03  -2.1500e+00 
  5.8047e+14   1.1985e+01   7.0000e-01  -1.3166e-03   6.7158e-03   0.0000e+00   7.9433e-03  -2.1000e+00 
  5.8048e+14   1.1985e+01   7.0000e-01  -1.4773e-03   7.5352e-03   0.0000e+00   8.9125e-03  -2.0500e+00 
  5.8048e+14   1.1985e+01   7.0000e-01  -1.6575e-03   8.4546e-03   0.0000e+00   1.0000e-02  -2.0000e+00 
  5.8049e+14   1.1985e+01   7.0000e-01  -1.8598e-03   9.4862e-03   0.0000e+00   1.1220e-02  -1.9500e+00 
  5.8049e+14   1.1985e+01   7.0000e-01  -2.0867e-03   1.0644e-02   0.0000e+00   1.2589e-02  -1.9000e+00 
  5.8050e+14   1.1985e+01   7.0000e-01  -2.3413e-03   1.1942e-02   0.0000e+00   1.4125e-02  -1.8500e+00 
  5.8051e+14   1.1985e+01   7.0000e-01  -2.6269e-03   1.3399e-02   0.0000e+00   1.5849e-02  -1.8000e+00 
  5.8053e+14   1.1984e+01   7.0000e-01  -2.9474e-03   1.5034e-02   0.0000e+00   1.7783e-02  -1.7500e+00 
  5.8055e+14   1.1984e+01   7.0000e-01  -3.3070e-03   1.6869e-02   0.0000e+00   1.9953e-02  -1.7000e+00 
  5.8057e+14   1.1984e+01   7.0000e-01  -3.7104e-03   1.8927e-02   0.0000e+00   2.2387e-02  -1.6500e+00 
  5.8060e+14   1.1984e+01   7.0000e-01  -4.1631e-03   2.1236e-02   0.0000e+00   2.5119e-02  -1.6000e+00 
  5.8064e+14   1.1983e+01   7.0000e-01  -4.6709e-03   2.3826e-02   0.0000e+00   2.8184e-02  -1.5500e+00 
  5.8068e+14   1.1983e+01   7.0000e-01  -5.2406e-03   2.6733e-02   0.0000e+00   3.1623e-02  -1.5000e+00 
  5.8074e+14   1.1982e+01   7.0000e-01  -5.8798e-03   2.9994e-02   0.0000e+00   3.5481e-02  -1.4500e+00 
  5.8081e+14   1.1981e+01   7.0000e-01  -6.5968e-03   3.3652e-02   0.0000e+00   3.9811e-02  -1.4000e+00 
  5.8090e+14   1.1980e+01   7.0000e-01  -7.4011e-03   3.7757e-02   0.0000e+00   4.4668e-02  -1.3500e+00 
  5.8102e+14   1.1979e+01   7.0000e-01  -8.3033e-03   4.2361e-02   0.0000e+00   5.0119e-02  -1.3000e+00 
  5.8116e+14   1.1978e+01   7.0000e-01  -9.3153e-03   4.7526e-02   0.0000e+00   5.6234e-02  -1.2500e+00 
  5.8135e+14   1.1976e+01   7.0000e-01  -1.0450e-02   5.3320e-02   0.0000e+00   6.3096e-02  -1.2000e+00 
  5.8158e+14   1.1973e+01   7.0000e-01  -1.1723e-02   5.9819e-02   0.0000e+00   7.0795e-02  -1.1500e+00 
  5.8186e+14   1.1970e+01   7.0000e-01  -1.3150e-02   6.7108e-02   0.0000e+00   7.9433e-02  -1.1000e+00 
  5.8223e+14   1.1966e+01   7.0000e-01  -1.4750e-02   7.5282e-02   0.0000e+00   8.9125e-02  -1.0500e+00 
  5.8268e+14   1.1962e+01   7.0000e-01  -1.6543e-02   8.4447e-02   0.0000e+00   1.0000e-01  -1.0000e+00 
  5.8325e+14   1.1956e+01   7.0000e-01  -1.8552e-02   9.4722e-02   0.0000e+00   1.1220e-01  -9.5000e-01 
  5.8397e+14   1.1948e+01   7.0000e-01  -2.0802e-02   1.0624e-01   0.0000e+00   1.2589e-01  -9.0000e-01 
  5.8487e+14   1.1939e+01   7.0000e-01  -2.3322e-02   1.1914e-01   0.0000e+00   1.4125e-01  -8.5000e-01 
  5.8600e+14   1.1927e+01   7.0000e-01  -2.6140e-02   1.3360e-01   0.0000e+00   1.5849e-01  -8.0000e-01 
  5.8741e+14   1.1913e+01   7.0000e-01  -2.9292e-02   1.4979e-01   0.0000e+00   1.7783e-01  -7.5000e-01 
  5.8917e+14   1.1895e+01   7.0000e-01  -3.2813e-02   1.6791e-01   0.0000e+00   1.9953e-01  -7.0000e-01 
  5.9137e+14   1.1873e+01   7.0000e-01  -3.6742e-02   1.8817e-01   0.0000e+00   2.2387e-01  -6.5000e-01 
  5.9411e+14   1.1846e+01   7.0000e-01  -4.1119e-02   2.1082e-01   0.0000e+00   2.5119e-01  -6.0000e-01 
  5.9751e+14   1.1813e+01   7.0000e-01  -4.5987e-02   2.3610e-01   0.0000e+00   2.8184e-01  -5.5000e-01 
  6.0171e+14   1.1774e+01   7.0000e-01  -5.1388e-02   2.6430e-01   0.0000e+00   3.1623e-01  -5.0000e-01 
  6.0689e+14   1.1726e+01   7.0000e-01  -5.7362e-02   2.9571e-01   0.0000e+00   3.5481e-01  -4.5000e-01 
  6.1324e+14   1.1670e+01   7.0000e-01  -6.3946e-02   3.3062e-01   0.0000e+00   3.9811e-01  -4.0000e-01 
  6.2096e+14   1.1605e+01   7.0000e-01  -7.1168e-02   3.6937e-01   0.0000e+00   4.4668e-01  -3.5000e-01 
  6.3031e+14   1.1531e+01   7.0000e-01  -7.9041e-02   4.1225e-01   0.0000e+00   5.0119e-01  -3.0000e-01 
  6.4151e+14   1.1447e+01   7.0000e-01  -8.7562e-02   4.5960e-01   0.0000e+00   5.6234e-01  -2.5000e-01 
  6.5482e+14   1.1355e+01   7.0000e-01  -9.6699e-02   5.1172e-01   0.0000e+00   6.3096e-01  -2.0000e-01 
  6.7045e+14   1.1256e+01   7.0000e-01  -1.0639e-01   5.6890e-01   0.0000e+00   7.0795e-01  -1.5000e-01 
  6.8858e+14   1.1153e+01   7.0000e-01  -1.1652e-01   6.3142e-01   0.0000e+00   7.9433e-01  -1.0000e-01 
  7.0934e+14   1.1050e+01   7.0000e-01  -1.2695e-01   6.9952e-01   0.0000e+00   8.9125e-01  -5.0000e-02 
  7.3278e+14   1.0950e+01   7.0000e-01  -1.3749e-01   7.7345e-01   0.0000e+00   1.0000e+00  -4.6288e-15 

 
  5.9050e+14   1.1973e+01   7.2000e-01  -1.6947e-07   8.4107e-07   0.0000e+00   1.0000e-06  -6.0000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -1.9014e-07   9.4370e-07   0.0000e+00   1.1220e-06  -5.9500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -2.1334e-07   1.0589e-06   0.0000e+00   1.2589e-06  -5.9000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -2.3938e-07   1.1880e-06   0.0000e+00   1.4125e-06  -5.8500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -2.6859e-07   1.3330e-06   0.0000e+00   1.5849e-06  -5.8000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -3.0136e-07   1.4957e-06   0.0000e+00   1.7783e-06  -5.7500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -3.3813e-07   1.6782e-06   0.0000e+00   1.9953e-06  -5.7000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -3.7939e-07   1.8829e-06   0.0000e+00   2.2387e-06  -5.6500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -4.2568e-07   2.1127e-06   0.0000e+00   2.5119e-06  -5.6000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -4.7762e-07   2.3705e-06   0.0000e+00   2.8184e-06  -5.5500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -5.3590e-07   2.6597e-06   0.0000e+00   3.1623e-06  -5.5000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -6.0129e-07   2.9842e-06   0.0000e+00   3.5481e-06  -5.4500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -6.7466e-07   3.3484e-06   0.0000e+00   3.9811e-06  -5.4000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -7.5698e-07   3.7569e-06   0.0000e+00   4.4668e-06  -5.3500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -8.4934e-07   4.2154e-06   0.0000e+00   5.0119e-06  -5.3000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -9.5298e-07   4.7297e-06   0.0000e+00   5.6234e-06  -5.2500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -1.0693e-06   5.3068e-06   0.0000e+00   6.3096e-06  -5.2000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -1.1997e-06   5.9544e-06   0.0000e+00   7.0795e-06  -5.1500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -1.3461e-06   6.6809e-06   0.0000e+00   7.9433e-06  -5.1000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -1.5104e-06   7.4961e-06   0.0000e+00   8.9125e-06  -5.0500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -1.6947e-06   8.4107e-06   0.0000e+00   1.0000e-05  -5.0000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -1.9014e-06   9.4370e-06   0.0000e+00   1.1220e-05  -4.9500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -2.1334e-06   1.0589e-05   0.0000e+00   1.2589e-05  -4.9000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -2.3938e-06   1.1880e-05   0.0000e+00   1.4125e-05  -4.8500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -2.6859e-06   1.3330e-05   0.0000e+00   1.5849e-05  -4.8000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -3.0136e-06   1.4957e-05   0.0000e+00   1.7783e-05  -4.7500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -3.3813e-06   1.6782e-05   0.0000e+00   1.9953e-05  -4.7000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -3.7939e-06   1.8829e-05   0.0000e+00   2.2387e-05  -4.6500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -4.2568e-06   2.1127e-05   0.0000e+00   2.5119e-05  -4.6000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -4.7762e-06   2.3705e-05   0.0000e+00   2.8184e-05  -4.5500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -5.3590e-06   2.6597e-05   0.0000e+00   3.1623e-05  -4.5000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -6.0129e-06   2.9842e-05   0.0000e+00   3.5481e-05  -4.4500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -6.7466e-06   3.3484e-05   0.0000e+00   3.9811e-05  -4.4000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -7.5698e-06   3.7569e-05   0.0000e+00   4.4668e-05  -4.3500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -8.4934e-06   4.2154e-05   0.0000e+00   5.0119e-05  -4.3000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -9.5298e-06   4.7297e-05   0.0000e+00   5.6234e-05  -4.2500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -1.0693e-05   5.3068e-05   0.0000e+00   6.3096e-05  -4.2000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -1.1997e-05   5.9544e-05   0.0000e+00   7.0795e-05  -4.1500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -1.3461e-05   6.6809e-05   0.0000e+00   7.9433e-05  -4.1000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -1.5104e-05   7.4961e-05   0.0000e+00   8.9125e-05  -4.0500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -1.6947e-05   8.4107e-05   0.0000e+00   1.0000e-04  -4.0000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -1.9014e-05   9.4370e-05   0.0000e+00   1.1220e-04  -3.9500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -2.1334e-05   1.0589e-04   0.0000e+00   1.2589e-04  -3.9000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -2.3938e-05   1.1880e-04   0.0000e+00   1.4125e-04  -3.8500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -2.6859e-05   1.3330e-04   0.0000e+00   1.5849e-04  -3.8000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -3.0136e-05   1.4957e-04   0.0000e+00   1.7783e-04  -3.7500e+00 
